"icd","ccs","ccsdesc","icd_chp"
"0010",135,"Intest infct","infectious and parasitic diseases"
"0011",135,"Intest infct","infectious and parasitic diseases"
"0019",135,"Intest infct","infectious and parasitic diseases"
"0020",135,"Intest infct","infectious and parasitic diseases"
"0021",135,"Intest infct","infectious and parasitic diseases"
"0022",135,"Intest infct","infectious and parasitic diseases"
"0023",135,"Intest infct","infectious and parasitic diseases"
"0029",135,"Intest infct","infectious and parasitic diseases"
"0030",135,"Intest infct","infectious and parasitic diseases"
"0031",2,"Septicemia","infectious and parasitic diseases"
"00320",135,"Intest infct","infectious and parasitic diseases"
"00321",76,"Meningitis","infectious and parasitic diseases"
"00322",122,"Pneumonia","infectious and parasitic diseases"
"00323",201,"Infect arth","infectious and parasitic diseases"
"00324",201,"Infect arth","infectious and parasitic diseases"
"00329",135,"Intest infct","infectious and parasitic diseases"
"0038",135,"Intest infct","infectious and parasitic diseases"
"0039",135,"Intest infct","infectious and parasitic diseases"
"0040",135,"Intest infct","infectious and parasitic diseases"
"0041",135,"Intest infct","infectious and parasitic diseases"
"0042",135,"Intest infct","infectious and parasitic diseases"
"0043",135,"Intest infct","infectious and parasitic diseases"
"0048",135,"Intest infct","infectious and parasitic diseases"
"0049",135,"Intest infct","infectious and parasitic diseases"
"0050",135,"Intest infct","infectious and parasitic diseases"
"0051",135,"Intest infct","infectious and parasitic diseases"
"0052",135,"Intest infct","infectious and parasitic diseases"
"0053",135,"Intest infct","infectious and parasitic diseases"
"0054",135,"Intest infct","infectious and parasitic diseases"
"0058",135,"Intest infct","infectious and parasitic diseases"
"00581",135,"Intest infct","infectious and parasitic diseases"
"00589",135,"Intest infct","infectious and parasitic diseases"
"0059",135,"Intest infct","infectious and parasitic diseases"
"0060",135,"Intest infct","infectious and parasitic diseases"
"0061",135,"Intest infct","infectious and parasitic diseases"
"0062",135,"Intest infct","infectious and parasitic diseases"
"0063",135,"Intest infct","infectious and parasitic diseases"
"0064",135,"Intest infct","infectious and parasitic diseases"
"0065",135,"Intest infct","infectious and parasitic diseases"
"0066",135,"Intest infct","infectious and parasitic diseases"
"0068",135,"Intest infct","infectious and parasitic diseases"
"0069",135,"Intest infct","infectious and parasitic diseases"
"0070",135,"Intest infct","infectious and parasitic diseases"
"0071",135,"Intest infct","infectious and parasitic diseases"
"0072",135,"Intest infct","infectious and parasitic diseases"
"0073",135,"Intest infct","infectious and parasitic diseases"
"0074",135,"Intest infct","infectious and parasitic diseases"
"0075",135,"Intest infct","infectious and parasitic diseases"
"0078",135,"Intest infct","infectious and parasitic diseases"
"0079",135,"Intest infct","infectious and parasitic diseases"
"0080",135,"Intest infct","infectious and parasitic diseases"
"00800",135,"Intest infct","infectious and parasitic diseases"
"00801",135,"Intest infct","infectious and parasitic diseases"
"00802",135,"Intest infct","infectious and parasitic diseases"
"00803",135,"Intest infct","infectious and parasitic diseases"
"00804",135,"Intest infct","infectious and parasitic diseases"
"00809",135,"Intest infct","infectious and parasitic diseases"
"0081",135,"Intest infct","infectious and parasitic diseases"
"0082",135,"Intest infct","infectious and parasitic diseases"
"0083",135,"Intest infct","infectious and parasitic diseases"
"00841",135,"Intest infct","infectious and parasitic diseases"
"00842",135,"Intest infct","infectious and parasitic diseases"
"00843",135,"Intest infct","infectious and parasitic diseases"
"00844",135,"Intest infct","infectious and parasitic diseases"
"00845",135,"Intest infct","infectious and parasitic diseases"
"00846",135,"Intest infct","infectious and parasitic diseases"
"00847",135,"Intest infct","infectious and parasitic diseases"
"00849",135,"Intest infct","infectious and parasitic diseases"
"0085",135,"Intest infct","infectious and parasitic diseases"
"0086",135,"Intest infct","infectious and parasitic diseases"
"00861",135,"Intest infct","infectious and parasitic diseases"
"00862",135,"Intest infct","infectious and parasitic diseases"
"00863",135,"Intest infct","infectious and parasitic diseases"
"00864",135,"Intest infct","infectious and parasitic diseases"
"00865",135,"Intest infct","infectious and parasitic diseases"
"00866",135,"Intest infct","infectious and parasitic diseases"
"00867",135,"Intest infct","infectious and parasitic diseases"
"00869",135,"Intest infct","infectious and parasitic diseases"
"0088",135,"Intest infct","infectious and parasitic diseases"
"0090",135,"Intest infct","infectious and parasitic diseases"
"0091",135,"Intest infct","infectious and parasitic diseases"
"0092",135,"Intest infct","infectious and parasitic diseases"
"0093",135,"Intest infct","infectious and parasitic diseases"
"01000",1,"Tuberculosis","infectious and parasitic diseases"
"01001",1,"Tuberculosis","infectious and parasitic diseases"
"01002",1,"Tuberculosis","infectious and parasitic diseases"
"01003",1,"Tuberculosis","infectious and parasitic diseases"
"01004",1,"Tuberculosis","infectious and parasitic diseases"
"01005",1,"Tuberculosis","infectious and parasitic diseases"
"01006",1,"Tuberculosis","infectious and parasitic diseases"
"01010",1,"Tuberculosis","infectious and parasitic diseases"
"01011",1,"Tuberculosis","infectious and parasitic diseases"
"01012",1,"Tuberculosis","infectious and parasitic diseases"
"01013",1,"Tuberculosis","infectious and parasitic diseases"
"01014",1,"Tuberculosis","infectious and parasitic diseases"
"01015",1,"Tuberculosis","infectious and parasitic diseases"
"01016",1,"Tuberculosis","infectious and parasitic diseases"
"01080",1,"Tuberculosis","infectious and parasitic diseases"
"01081",1,"Tuberculosis","infectious and parasitic diseases"
"01082",1,"Tuberculosis","infectious and parasitic diseases"
"01083",1,"Tuberculosis","infectious and parasitic diseases"
"01084",1,"Tuberculosis","infectious and parasitic diseases"
"01085",1,"Tuberculosis","infectious and parasitic diseases"
"01086",1,"Tuberculosis","infectious and parasitic diseases"
"01090",1,"Tuberculosis","infectious and parasitic diseases"
"01091",1,"Tuberculosis","infectious and parasitic diseases"
"01092",1,"Tuberculosis","infectious and parasitic diseases"
"01093",1,"Tuberculosis","infectious and parasitic diseases"
"01094",1,"Tuberculosis","infectious and parasitic diseases"
"01095",1,"Tuberculosis","infectious and parasitic diseases"
"01096",1,"Tuberculosis","infectious and parasitic diseases"
"01100",1,"Tuberculosis","infectious and parasitic diseases"
"01101",1,"Tuberculosis","infectious and parasitic diseases"
"01102",1,"Tuberculosis","infectious and parasitic diseases"
"01103",1,"Tuberculosis","infectious and parasitic diseases"
"01104",1,"Tuberculosis","infectious and parasitic diseases"
"01105",1,"Tuberculosis","infectious and parasitic diseases"
"01106",1,"Tuberculosis","infectious and parasitic diseases"
"01110",1,"Tuberculosis","infectious and parasitic diseases"
"01111",1,"Tuberculosis","infectious and parasitic diseases"
"01112",1,"Tuberculosis","infectious and parasitic diseases"
"01113",1,"Tuberculosis","infectious and parasitic diseases"
"01114",1,"Tuberculosis","infectious and parasitic diseases"
"01115",1,"Tuberculosis","infectious and parasitic diseases"
"01116",1,"Tuberculosis","infectious and parasitic diseases"
"01120",1,"Tuberculosis","infectious and parasitic diseases"
"01121",1,"Tuberculosis","infectious and parasitic diseases"
"01122",1,"Tuberculosis","infectious and parasitic diseases"
"01123",1,"Tuberculosis","infectious and parasitic diseases"
"01124",1,"Tuberculosis","infectious and parasitic diseases"
"01125",1,"Tuberculosis","infectious and parasitic diseases"
"01126",1,"Tuberculosis","infectious and parasitic diseases"
"01130",1,"Tuberculosis","infectious and parasitic diseases"
"01131",1,"Tuberculosis","infectious and parasitic diseases"
"01132",1,"Tuberculosis","infectious and parasitic diseases"
"01133",1,"Tuberculosis","infectious and parasitic diseases"
"01134",1,"Tuberculosis","infectious and parasitic diseases"
"01135",1,"Tuberculosis","infectious and parasitic diseases"
"01136",1,"Tuberculosis","infectious and parasitic diseases"
"01140",1,"Tuberculosis","infectious and parasitic diseases"
"01141",1,"Tuberculosis","infectious and parasitic diseases"
"01142",1,"Tuberculosis","infectious and parasitic diseases"
"01143",1,"Tuberculosis","infectious and parasitic diseases"
"01144",1,"Tuberculosis","infectious and parasitic diseases"
"01145",1,"Tuberculosis","infectious and parasitic diseases"
"01146",1,"Tuberculosis","infectious and parasitic diseases"
"01150",1,"Tuberculosis","infectious and parasitic diseases"
"01151",1,"Tuberculosis","infectious and parasitic diseases"
"01152",1,"Tuberculosis","infectious and parasitic diseases"
"01153",1,"Tuberculosis","infectious and parasitic diseases"
"01154",1,"Tuberculosis","infectious and parasitic diseases"
"01155",1,"Tuberculosis","infectious and parasitic diseases"
"01156",1,"Tuberculosis","infectious and parasitic diseases"
"01160",1,"Tuberculosis","infectious and parasitic diseases"
"01161",1,"Tuberculosis","infectious and parasitic diseases"
"01162",1,"Tuberculosis","infectious and parasitic diseases"
"01163",1,"Tuberculosis","infectious and parasitic diseases"
"01164",1,"Tuberculosis","infectious and parasitic diseases"
"01165",1,"Tuberculosis","infectious and parasitic diseases"
"01166",1,"Tuberculosis","infectious and parasitic diseases"
"01170",1,"Tuberculosis","infectious and parasitic diseases"
"01171",1,"Tuberculosis","infectious and parasitic diseases"
"01172",1,"Tuberculosis","infectious and parasitic diseases"
"01173",1,"Tuberculosis","infectious and parasitic diseases"
"01174",1,"Tuberculosis","infectious and parasitic diseases"
"01175",1,"Tuberculosis","infectious and parasitic diseases"
"01176",1,"Tuberculosis","infectious and parasitic diseases"
"01180",1,"Tuberculosis","infectious and parasitic diseases"
"01181",1,"Tuberculosis","infectious and parasitic diseases"
"01182",1,"Tuberculosis","infectious and parasitic diseases"
"01183",1,"Tuberculosis","infectious and parasitic diseases"
"01184",1,"Tuberculosis","infectious and parasitic diseases"
"01185",1,"Tuberculosis","infectious and parasitic diseases"
"01186",1,"Tuberculosis","infectious and parasitic diseases"
"01190",1,"Tuberculosis","infectious and parasitic diseases"
"01191",1,"Tuberculosis","infectious and parasitic diseases"
"01192",1,"Tuberculosis","infectious and parasitic diseases"
"01193",1,"Tuberculosis","infectious and parasitic diseases"
"01194",1,"Tuberculosis","infectious and parasitic diseases"
"01195",1,"Tuberculosis","infectious and parasitic diseases"
"01196",1,"Tuberculosis","infectious and parasitic diseases"
"01200",1,"Tuberculosis","infectious and parasitic diseases"
"01201",1,"Tuberculosis","infectious and parasitic diseases"
"01202",1,"Tuberculosis","infectious and parasitic diseases"
"01203",1,"Tuberculosis","infectious and parasitic diseases"
"01204",1,"Tuberculosis","infectious and parasitic diseases"
"01205",1,"Tuberculosis","infectious and parasitic diseases"
"01206",1,"Tuberculosis","infectious and parasitic diseases"
"01210",1,"Tuberculosis","infectious and parasitic diseases"
"01211",1,"Tuberculosis","infectious and parasitic diseases"
"01212",1,"Tuberculosis","infectious and parasitic diseases"
"01213",1,"Tuberculosis","infectious and parasitic diseases"
"01214",1,"Tuberculosis","infectious and parasitic diseases"
"01215",1,"Tuberculosis","infectious and parasitic diseases"
"01216",1,"Tuberculosis","infectious and parasitic diseases"
"01220",1,"Tuberculosis","infectious and parasitic diseases"
"01221",1,"Tuberculosis","infectious and parasitic diseases"
"01222",1,"Tuberculosis","infectious and parasitic diseases"
"01223",1,"Tuberculosis","infectious and parasitic diseases"
"01224",1,"Tuberculosis","infectious and parasitic diseases"
"01225",1,"Tuberculosis","infectious and parasitic diseases"
"01226",1,"Tuberculosis","infectious and parasitic diseases"
"01230",1,"Tuberculosis","infectious and parasitic diseases"
"01231",1,"Tuberculosis","infectious and parasitic diseases"
"01232",1,"Tuberculosis","infectious and parasitic diseases"
"01233",1,"Tuberculosis","infectious and parasitic diseases"
"01234",1,"Tuberculosis","infectious and parasitic diseases"
"01235",1,"Tuberculosis","infectious and parasitic diseases"
"01236",1,"Tuberculosis","infectious and parasitic diseases"
"01280",1,"Tuberculosis","infectious and parasitic diseases"
"01281",1,"Tuberculosis","infectious and parasitic diseases"
"01282",1,"Tuberculosis","infectious and parasitic diseases"
"01283",1,"Tuberculosis","infectious and parasitic diseases"
"01284",1,"Tuberculosis","infectious and parasitic diseases"
"01285",1,"Tuberculosis","infectious and parasitic diseases"
"01286",1,"Tuberculosis","infectious and parasitic diseases"
"01300",1,"Tuberculosis","infectious and parasitic diseases"
"01301",1,"Tuberculosis","infectious and parasitic diseases"
"01302",1,"Tuberculosis","infectious and parasitic diseases"
