ICD-9-CM CODE,CCS LVL 1,'CCS LVL 1 LABEL',CCS LVL 2,'CCS LVL 2 LABEL',CCS LVL 3,'CCS LVL 3 LABEL',CCS LVL 4,'CCS LVL 4 LABEL'
01000,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01001,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01002,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01003,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01004,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01005,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01006,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01010,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01011,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01012,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01013,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01014,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01015,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01016,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01080,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01081,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01082,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01083,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01084,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01085,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01086,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01090,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01091,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01092,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01093,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01094,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01095,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01096,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01100,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01101,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01102,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01103,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01104,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01105,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01106,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01110,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01111,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01112,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01113,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01114,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01115,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01116,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01120,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01121,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01122,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01123,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01124,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01125,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01126,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01130,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01131,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01132,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01133,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01134,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01135,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01136,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01140,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01141,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01142,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01143,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01144,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01145,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01146,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01150,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01151,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01152,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01153,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01154,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01155,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01156,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01160,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01161,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01162,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01163,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01164,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01165,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01166,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01170,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01171,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01172,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
01173,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],NA,NA
